run,type,module,name,attrname,attrvalue,value
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[*].packetForwarder.indexNumber,0,
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[*].receptionRadius,15,
General-25-20210507-12:30:14-14692,param,,,**.LoRaGWNic.radio.antennaType,"""CustomAntenna""",
General-25-20210507-12:30:14-14692,param,,,**.LoRaNic.radio.antennaType,"""CustomAntenna""",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[*].**.antenna.gainPath,"""/home/anrunie/Documentos/GIRTEL/LoRa-INET-AI1/inet/src/inet/physicallayer/base/packetlevel/gains/gain11467-2.txt""",
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[0].**.antenna.gainPath,"""/home/anrunie/Documentos/GIRTEL/LoRa-INET-AI1/inet/src/inet/physicallayer/base/packetlevel/gains/gain17514-2.txt""",
General-25-20210507-12:30:14-14692,param,,,**.LoRaGWNic.radio.iAmGateway,true,
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[*].**.initFromDisplayString,false,
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[0].**.initialX,"1583.34m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[0].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[0].**.initialZ,"644.60m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[1].**.initialX,"1607.25m  + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[1].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[1].**.initialZ,"653.4m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[2].**.initialX,"1618.5m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[2].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[2].**.initialZ,"629.3m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[3].**.initialX,"1625.9m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[3].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[3].**.initialZ,"692.29m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[4].**.initialX,"1608.2m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[4].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[4].**.initialZ,"702.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[5].**.initialX,"1578.9m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[5].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[5].**.initialZ,"681m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[6].**.initialX,"1560.2m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[6].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[6].**.initialZ,"674.5m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[7].**.initialX,"1547.9m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[76].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[7].**.initialZ,"666.1m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[8].**.initialX,"1620.13m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[8].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[8].**.initialZ,"620.94m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[9].**.initialX,"1632.9m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[9].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[9].**.initialZ,"650.55m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[10].**.initialX,"1572.9m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[10].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[10].**.initialZ,"560.55m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[11].**.initialX,"1528.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[11].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[11].**.initialZ,"605m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[12].**.initialX,"1497.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[12].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[12].**.initialZ,"611.9m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[13].**.initialX,"1504.2m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[13].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[13].**.initialZ,"626.72m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[14].**.initialX,"1527.3m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[14].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.loRaGW[14].**.initialZ,"646.7m + uniform(-0.30m,0.30m)",
General-25-20210507-12:30:14-14692,param,,,**.networkServer.numUdpApps,1,
General-25-20210507-12:30:14-14692,param,,,**.networkServer.**.evaluateADRinServer,false,
General-25-20210507-12:30:14-14692,param,,,**.networkServer.udpApp[0].typename,"""NetworkServerApp""",
General-25-20210507-12:30:14-14692,param,,,**.networkServer.udpApp[0].destAddresses,"""loRaGW[*]""",
General-25-20210507-12:30:14-14692,param,,,**.networkServer.udpApp[0].destPort,2000,
General-25-20210507-12:30:14-14692,param,,,**.networkServer.udpApp[0].localPort,1000,
General-25-20210507-12:30:14-14692,param,,,**.networkServer.udpApp[0].adrMethod,"""avg""",
General-25-20210507-12:30:14-14692,param,,,**.numberOfPacketsToSend,0,
General-25-20210507-12:30:14-14692,param,,,**.timeToFirstPacket,exponential(100s),
General-25-20210507-12:30:14-14692,param,,,**.timeToNextPacket,exponential(100s),
General-25-20210507-12:30:14-14692,param,,,**.alohaChannelModel,false,
General-25-20210507-12:30:14-14692,param,,,**.numberOfNodes,1,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].**.evaluateADRinNode,false,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].**initialLoRaSF,12,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].**initialLoRaCR,5,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].**initialLoRaTP,14 dBm,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[0].**.initialX,1549.14m,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[0].**.initialY,15m,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[0].**.initialZ,620.8m,
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].LoRaNic.radio.energyConsumerType,"""LoRaEnergyConsumer""",
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].**.energySourceModule,"""IdealEpEnergyStorage""",
General-25-20210507-12:30:14-14692,param,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""energyConsumptionParameters.xml"")",
General-25-20210507-12:30:14-14692,param,,,**.sigma,0,
General-25-20210507-12:30:14-14692,param,,,**.constraintAreaMinX,0m,
General-25-20210507-12:30:14-14692,param,,,**.constraintAreaMinY,0m,
General-25-20210507-12:30:14-14692,param,,,**.constraintAreaMinZ,0m,
General-25-20210507-12:30:14-14692,param,,,**.constraintAreaMaxX,3000m,
General-25-20210507-12:30:14-14692,param,,,**.constraintAreaMaxY,3000m,
General-25-20210507-12:30:14-14692,param,,,**.constraintAreaMaxZ,3000m,
General-25-20210507-12:30:14-14692,param,,,CartagenaOPAL.**.radio.separateTransmissionParts,false,
General-25-20210507-12:30:14-14692,param,,,CartagenaOPAL.**.radio.separateReceptionParts,false,
General-25-20210507-12:30:14-14692,param,,,**.delayer.config,"xmldoc(""cloudDelays.xml"")",
General-25-20210507-12:30:14-14692,param,,,**.radio.radioMediumModule,"""OpalLoRaRadioMedium""",
General-25-20210507-12:30:14-14692,param,,,**.minInterferenceTime,0s,
General-25-20210507-12:30:14-14692,param,,,**.displayAddresses,false,
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.carrierFrequency,868MHz,
General-25-20210507-12:30:14-14692,param,,,**.mediumLimitCache.carrierFrequency,868MHz,
General-25-20210507-12:30:14-14692,param,,,**.radio.carrierFrequency,868MHz,
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.loadMeshesFromFile,true,
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.useDecimalDegreeDelta,true,
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.meshesPath,"""meshes_cartagena""",
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.receptionRadius,2m,
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.maxNumberOfReflections,30,
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.pathLoss.typename,"""TwoRayInterference""",
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.meshesFileList,"""/home/anrunie/Documentos/GIRTEL/LoRa-INET-AI1/inet/simulations/meshes_cartagena_new/meshes/names.txt""",
General-25-20210507-12:30:14-14692,param,,,**.OpalLoRaRadioMedium.isStatic,true,
General-7-20210507-12:27:56-14430,runattr,,,configname,General,
General-7-20210507-12:27:56-14430,runattr,,,datetime,20210507-12:27:56,
General-7-20210507-12:27:56-14430,runattr,,,experiment,General,
General-7-20210507-12:27:56-14430,runattr,,,inifile,loRaNetworkCartagenaOPAL-SINTOPOGRAFIA.ini,
General-7-20210507-12:27:56-14430,runattr,,,iterationvars,"$0=""avg""",
General-7-20210507-12:27:56-14430,runattr,,,iterationvarsf,avg-,
General-7-20210507-12:27:56-14430,runattr,,,measurement,"$0=""avg""",
General-7-20210507-12:27:56-14430,runattr,,,network,CartagenaOPAL,
General-7-20210507-12:27:56-14430,runattr,,,processid,14430,
General-7-20210507-12:27:56-14430,runattr,,,repetition,7,
General-7-20210507-12:27:56-14430,runattr,,,replication,#7,
General-7-20210507-12:27:56-14430,runattr,,,resultdir,results,
General-7-20210507-12:27:56-14430,runattr,,,runnumber,7,
General-7-20210507-12:27:56-14430,runattr,,,seedset,7,
General-7-20210507-12:27:56-14430,param,,,**.numberOfGateways,15,
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].numUdpApps,1,
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].packetForwarder.localPort,2000,
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].packetForwarder.destPort,1000,
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].packetForwarder.destAddresses,"""networkServer""",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].packetForwarder.indexNumber,0,
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].receptionRadius,15,
General-7-20210507-12:27:56-14430,param,,,**.LoRaGWNic.radio.antennaType,"""CustomAntenna""",
General-7-20210507-12:27:56-14430,param,,,**.LoRaNic.radio.antennaType,"""CustomAntenna""",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].**.antenna.gainPath,"""/home/anrunie/Documentos/GIRTEL/LoRa-INET-AI1/inet/src/inet/physicallayer/base/packetlevel/gains/gain11467-2.txt""",
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[0].**.antenna.gainPath,"""/home/anrunie/Documentos/GIRTEL/LoRa-INET-AI1/inet/src/inet/physicallayer/base/packetlevel/gains/gain17514-2.txt""",
General-7-20210507-12:27:56-14430,param,,,**.LoRaGWNic.radio.iAmGateway,true,
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[*].**.initFromDisplayString,false,
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[0].**.initialX,"1583.34m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[0].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[0].**.initialZ,"644.60m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[1].**.initialX,"1607.25m  + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[1].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[1].**.initialZ,"653.4m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[2].**.initialX,"1618.5m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[2].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[2].**.initialZ,"629.3m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[3].**.initialX,"1625.9m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[3].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[3].**.initialZ,"692.29m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[4].**.initialX,"1608.2m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[4].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[4].**.initialZ,"702.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[5].**.initialX,"1578.9m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[5].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[5].**.initialZ,"681m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[6].**.initialX,"1560.2m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[6].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[6].**.initialZ,"674.5m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[7].**.initialX,"1547.9m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[76].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[7].**.initialZ,"666.1m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[8].**.initialX,"1620.13m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[8].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[8].**.initialZ,"620.94m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[9].**.initialX,"1632.9m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[9].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[9].**.initialZ,"650.55m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[10].**.initialX,"1572.9m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[10].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[10].**.initialZ,"560.55m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[11].**.initialX,"1528.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[11].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[11].**.initialZ,"605m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[12].**.initialX,"1497.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[12].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[12].**.initialZ,"611.9m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[13].**.initialX,"1504.2m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[13].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[13].**.initialZ,"626.72m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[14].**.initialX,"1527.3m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[14].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.loRaGW[14].**.initialZ,"646.7m + uniform(-0.30m,0.30m)",
General-7-20210507-12:27:56-14430,param,,,**.networkServer.numUdpApps,1,
General-7-20210507-12:27:56-14430,param,,,**.networkServer.**.evaluateADRinServer,false,
General-7-20210507-12:27:56-14430,param,,,**.networkServer.udpApp[0].typename,"""NetworkServerApp""",
General-7-20210507-12:27:56-14430,param,,,**.networkServer.udpApp[0].destAddresses,"""loRaGW[*]""",
General-7-20210507-12:27:56-14430,param,,,**.networkServer.udpApp[0].destPort,2000,
General-7-20210507-12:27:56-14430,param,,,**.networkServer.udpApp[0].localPort,1000,
General-7-20210507-12:27:56-14430,param,,,**.networkServer.udpApp[0].adrMethod,"""avg""",
General-7-20210507-12:27:56-14430,param,,,**.numberOfPacketsToSend,0,
General-7-20210507-12:27:56-14430,param,,,**.timeToFirstPacket,exponential(100s),
General-7-20210507-12:27:56-14430,param,,,**.timeToNextPacket,exponential(100s),
General-7-20210507-12:27:56-14430,param,,,**.alohaChannelModel,false,
General-7-20210507-12:27:56-14430,param,,,**.numberOfNodes,1,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].**.evaluateADRinNode,false,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].**initialLoRaSF,12,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].**initialLoRaCR,5,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].**initialLoRaTP,14 dBm,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[0].**.initialX,1549.14m,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[0].**.initialY,15m,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[0].**.initialZ,620.8m,
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].LoRaNic.radio.energyConsumerType,"""LoRaEnergyConsumer""",
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].**.energySourceModule,"""IdealEpEnergyStorage""",
General-7-20210507-12:27:56-14430,param,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""energyConsumptionParameters.xml"")",
General-7-20210507-12:27:56-14430,param,,,**.sigma,0,
General-7-20210507-12:27:56-14430,param,,,**.constraintAreaMinX,0m,
General-7-20210507-12:27:56-14430,param,,,**.constraintAreaMinY,0m,
General-7-20210507-12:27:56-14430,param,,,**.constraintAreaMinZ,0m,
General-7-20210507-12:27:56-14430,param,,,**.constraintAreaMaxX,3000m,
General-7-20210507-12:27:56-14430,param,,,**.constraintAreaMaxY,3000m,
General-7-20210507-12:27:56-14430,param,,,**.constraintAreaMaxZ,3000m,
General-7-20210507-12:27:56-14430,param,,,CartagenaOPAL.**.radio.separateTransmissionParts,false,
General-7-20210507-12:27:56-14430,param,,,CartagenaOPAL.**.radio.separateReceptionParts,false,
General-7-20210507-12:27:56-14430,param,,,**.delayer.config,"xmldoc(""cloudDelays.xml"")",
General-7-20210507-12:27:56-14430,param,,,**.radio.radioMediumModule,"""OpalLoRaRadioMedium""",
General-7-20210507-12:27:56-14430,param,,,**.minInterferenceTime,0s,
General-7-20210507-12:27:56-14430,param,,,**.displayAddresses,false,
General-7-20210507-12:27:56-14430,param,,,**.OpalLoRaRadioMedium.carrierFrequency,868MHz,
General-7-20210507-12:27:56-14430,param,,,**.mediumLimitCache.carrierFrequency,868MHz,
General-7-20210507-12:27:56-14430,param,,,**.radio.carrierFrequency,868MHz,
General-7-20210507-12:27:56-14430,param,,,**.OpalLoRaRadioMedium.loadMeshesFromFile,true,
